 # H2O IR 
 # For interval boundaries, see corresponding files  
 #Temperature(K)  100,  150,  200,  250,  300,  350,  400,  600, 
 #P(bar) 1.00e-05, 1.00e-04, 1.00e-03, 1.00e-02, 1.00e-01, 1.00e+00, 1.00e+01, 1.00e+02, 

  Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516e-01           6.59602519928250280e-02
   3.09768948559709378e-01           3.13509004297193250e-01
   3.09768948559709378e-01           6.36490995702806650e-01
   1.65231051440290516e-01           8.84039748007174886e-01
   8.69637112843634277e-03           9.53471592210148655e-01
   1.63036288715636482e-02           9.66500473910378632e-01
   1.63036288715636482e-02           9.83499526089621323e-01
   8.69637112843634277e-03           9.96528407789851300e-01
!--------------------------------------------------------------------------------------------------------------------------

          1
 10.00000   1.29065e-19 2.00435e-19 2.18370e-19 2.70709e-19 3.04381e-19 3.08786e-19 3.12544e-19 3.13591e-19 
100.00000   6.62490e-21 6.88983e-21 8.05173e-21 8.79710e-21 8.95623e-21 8.97096e-21 8.97997e-21 8.98478e-21 

          3
          250.0
  0.00001   4.70396e-25 1.78150e-24 1.50165e-23 3.94733e-22 5.96222e-21 1.74917e-20 1.93234e-19 1.76627e-17 
  0.00010   4.45381e-24 1.55207e-23 1.09338e-22 1.58234e-21 1.55055e-20 3.59099e-20 2.47925e-19 1.78164e-17 
  0.00100   4.32780e-23 1.42369e-22 8.70367e-22 9.60474e-21 7.33228e-20 1.46642e-19 6.33824e-19 1.87596e-17 
  0.01000   4.26349e-22 1.33266e-21 7.52862e-21 7.39630e-20 4.52613e-19 8.23247e-19 2.56853e-18 2.04493e-17 
  0.10000   4.20016e-21 1.23077e-20 6.00387e-20 4.35492e-19 1.47727e-18 2.07751e-18 3.73515e-18 8.30064e-18 
  1.00000   4.07072e-20 9.60343e-20 2.60629e-19 6.46962e-19 8.99671e-19 9.80139e-19 1.24996e-18 1.78348e-18 
 10.00000   1.17222e-19 1.95641e-19 2.11734e-19 2.66069e-19 3.06208e-19 3.11518e-19 3.16103e-19 3.17396e-19 
100.00000   8.78466e-21 9.32336e-21 1.17550e-20 1.24513e-20 1.26430e-20 1.26605e-20 1.26698e-20 1.26766e-20 

          3
          300.0
  0.00001   4.24501e-25 1.91268e-24 1.67440e-23 5.90586e-22 9.89187e-21 2.90919e-20 3.51328e-19 1.82213e-17 
  0.00010   3.87024e-24 1.56808e-23 1.16002e-22 1.83788e-21 1.83067e-20 4.58857e-20 3.99313e-19 1.82664e-17 
  0.00100   3.62266e-23 1.39164e-22 8.87530e-22 9.53655e-21 7.53227e-20 1.54701e-19 7.29348e-19 1.85881e-17 
  0.01000   3.51924e-22 1.26439e-21 7.30783e-21 7.03078e-20 4.40034e-19 7.90647e-19 2.44410e-18 1.87281e-17 
  0.10000   3.41697e-21 1.11991e-20 5.82923e-20 4.04185e-19 1.30924e-18 1.88543e-18 3.32987e-18 7.80817e-18 
  1.00000   3.31281e-20 8.50969e-20 2.36369e-19 6.03704e-19 8.53547e-19 9.29969e-19 1.08602e-18 1.55615e-18 
 10.00000   1.04061e-19 1.81700e-19 1.99407e-19 2.57230e-19 2.95125e-19 3.00844e-19 3.05838e-19 3.07254e-19 
