 # Model name = Modern Earth(no ozone), Ramses CLIMA
 # Diameter: 12742                # Diameter of the planet [km]
 # Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
 # Star-distance: 1               # Planet-star distance [au]
 # Star-type: Sun                 # Host-star type
 # Star-temperature: 5780         # Host-star temperature [K]
 # Wavelength-min: 0.2376            # Minimum wavelength [um]
 # Wavelength-max: inf           # Maximum wavelength [um]
 # Radiance-unit: Wsrm2um         # Radiation output unit
 # Surface-temperature: 285.3     # Surface temperature [K]
 # Surface-albedo: 0.32           # Surface albedo
 # Surface-emissivity: 1.0        # Surface emissivity
 # Opacity:corr.-k, BPS H2O cont. # corrk + continuum, other ?
 # Line opacities = H2O, CO2
 # CIA opacities = CO2-CO2, N2-N2, N2-CO2
 # Rayleigh opacities = N2, CO2, H2O
 # Outgoing longwave radiation (W/m^2) = 238.7
 # Absorbed stellar radiation (W/m^2) = 238.5
 # Atmosphere-description: Modern Earth
 # Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
 # Atmosphere-layers: 201
 #   P(Pa)     T(K)    MMW(g/mol)  Alt(km)     N2          CO2          H2O          OTR           ASR
 4.82260E+02  173.740  28.00640    30.862  9.99600E-01  4.00000E-04  3.56340E-08  2.38380E+02  2.38100E+02
 4.51790E+02  173.970  28.00640    31.207  9.99600E-01  4.00000E-04  3.56340E-08  2.38400E+02  2.38120E+02
 4.23100E+02  174.150  28.00640    31.554  9.99600E-01  4.00000E-04  3.56340E-08  2.38420E+02  2.38140E+02
 3.96090E+02  174.290  28.00640    31.903  9.99600E-01  4.00000E-04  3.56340E-08  2.38440E+02  2.38150E+02
 3.70680E+02  174.400  28.00640    32.254  9.99600E-01  4.00000E-04  3.56340E-08  2.38450E+02  2.38170E+02
 3.46780E+02  174.480  28.00640    32.607  9.99600E-01  4.00000E-04  3.56340E-08  2.38470E+02  2.38190E+02
 3.24310E+02  174.550  28.00640    32.963  9.99600E-01  4.00000E-04  3.56340E-08  2.38490E+02  2.38200E+02
 3.03180E+02  174.610  28.00640    33.320  9.99600E-01  4.00000E-04  3.56340E-08  2.38500E+02  2.38220E+02
 2.83340E+02  174.660  28.00640    33.679  9.99600E-01  4.00000E-04  3.56340E-08  2.38510E+02  2.38230E+02
 2.64700E+02  174.710  28.00640    34.041  9.99600E-01  4.00000E-04  3.56340E-08  2.38520E+02  2.38240E+02
 2.47200E+02  174.780  28.00640    34.404  9.99600E-01  4.00000E-04  3.56340E-08  2.38540E+02  2.38250E+02
 2.30780E+02  174.840  28.00640    34.769  9.99600E-01  4.00000E-04  3.56340E-08  2.38550E+02  2.38260E+02
 2.15380E+02  174.920  28.00640    35.137  9.99600E-01  4.00000E-04  3.56340E-08  2.38560E+02  2.38270E+02
 2.00930E+02  175.020  28.00640    35.506  9.99600E-01  4.00000E-04  3.56340E-08  2.38570E+02  2.38280E+02
 1.87390E+02  175.120  28.00640    35.878  9.99600E-01  4.00000E-04  3.56340E-08  2.38580E+02  2.38290E+02
 1.74700E+02  175.230  28.00640    36.251  9.99600E-01  4.00000E-04  3.56340E-08  2.38580E+02  2.38300E+02
 1.62810E+02  175.350  28.00640    36.627  9.99600E-01  4.00000E-04  3.56340E-08  2.38590E+02  2.38310E+02
 1.51680E+02  175.480  28.00640    37.005  9.99600E-01  4.00000E-04  3.56340E-08  2.38600E+02  2.38320E+02
 1.41260E+02  175.590  28.00640    37.385  9.99600E-01  4.00000E-04  3.56340E-08  2.38610E+02  2.38320E+02
 1.31510E+02  175.700  28.00640    37.768  9.99600E-01  4.00000E-04  3.56340E-08  2.38610E+02  2.38330E+02
 1.22390E+02  175.800  28.00640    38.152  9.99600E-01  4.00000E-04  3.56340E-08  2.38620E+02  2.38340E+02
 1.13870E+02  175.870  28.00640    38.539  9.99600E-01  4.00000E-04  3.56340E-08  2.38630E+02  2.38350E+02
 1.05900E+02  175.920  28.00640    38.927  9.99600E-01  4.00000E-04  3.56340E-08  2.38630E+02  2.38350E+02
 9.84550E+01  175.940  28.00640    39.318  9.99600E-01  4.00000E-04  3.56340E-08  2.38640E+02  2.38360E+02
 9.15020E+01  175.930  28.00640    39.710  9.99600E-01  4.00000E-04  3.56340E-08  2.38650E+02  2.38360E+02
 8.50100E+01  175.880  28.00640    40.104  9.99600E-01  4.00000E-04  3.56340E-08  2.38650E+02  2.38370E+02
 7.89510E+01  175.790  28.00640    40.500  9.99600E-01  4.00000E-04  3.56340E-08  2.38660E+02  2.38370E+02
 7.32990E+01  175.660  28.00640    40.898  9.99600E-01  4.00000E-04  3.56340E-08  2.38660E+02  2.38380E+02
 6.80270E+01  175.480  28.00640    41.297  9.99600E-01  4.00000E-04  3.56340E-08  2.38670E+02  2.38380E+02
 6.31130E+01  175.260  28.00640    41.698  9.99600E-01  4.00000E-04  3.56340E-08  2.38670E+02  2.38390E+02
 5.85340E+01  175.000  28.00640    42.100  9.99600E-01  4.00000E-04  3.56340E-08  2.38670E+02  2.38390E+02
 5.42680E+01  174.710  28.00640    42.503  9.99600E-01  4.00000E-04  3.56340E-08  2.38680E+02  2.38390E+02
 5.02950E+01  174.380  28.00640    42.908  9.99600E-01  4.00000E-04  3.56340E-08  2.38680E+02  2.38400E+02
 4.65980E+01  174.020  28.00640    43.313  9.99600E-01  4.00000E-04  3.56340E-08  2.38680E+02  2.38400E+02
 4.31570E+01  173.650  28.00640    43.720  9.99600E-01  4.00000E-04  3.56340E-08  2.38690E+02  2.38400E+02
 3.99560E+01  173.260  28.00640    44.128  9.99600E-01  4.00000E-04  3.56340E-08  2.38690E+02  2.38410E+02
 3.69800E+01  172.870  28.00640    44.536  9.99600E-01  4.00000E-04  3.56340E-08  2.38690E+02  2.38410E+02
 3.42130E+01  172.480  28.00640    44.946  9.99600E-01  4.00000E-04  3.56340E-08  2.38690E+02  2.38410E+02
 3.16430E+01  172.090  28.00640    45.356  9.99600E-01  4.00000E-04  3.56340E-08  2.38690E+02  2.38410E+02
 2.92550E+01  171.710  28.00640    45.768  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38410E+02
 2.70390E+01  171.360  28.00640    46.180  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38410E+02
 2.49810E+01  171.020  28.00640    46.593  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 2.30730E+01  170.720  28.00640    47.008  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 2.13020E+01  170.440  28.00640    47.424  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 1.96610E+01  170.200  28.00640    47.841  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 1.81400E+01  170.000  28.00640    48.259  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 1.67300E+01  169.850  28.00640    48.679  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 1.54250E+01  169.750  28.00640    49.100  9.99600E-01  4.00000E-04  3.56340E-08  2.38700E+02  2.38420E+02
 1.42170E+01  169.710  28.00640    49.523  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38420E+02
 1.30990E+01  169.730  28.00640    49.948  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38420E+02
 1.20640E+01  169.830  28.00640    50.374  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38420E+02
 1.11080E+01  170.000  28.00640    50.803  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38430E+02
 1.02230E+01  170.260  28.00640    51.235  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38430E+02
 9.40630E+00  170.610  28.00640    51.669  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38430E+02
 8.65150E+00  171.050  28.00640    52.105  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38430E+02
 7.95450E+00  171.580  28.00640    52.545  9.99600E-01  4.00000E-04  3.56340E-08  2.38710E+02  2.38430E+02
